_link,_link_daily_16,dt,rain,pressure,humidity,uvi,speed,deg,clouds,temp_day,temp_min,temp_max,temp_night,temp_eve,temp_morn,snow
13.data.15,13,1490691600,,1024.03,0,1.9,3.69,77,1,276.78,265.8,276.78,265.8,270.5,270.45,
13.data.16,13,1490778000,,1025.9,0,1.9,1.3,92,0,265.8,265.8,265.8,265.8,265.8,265.8,
14.data.0,14,1489395600,8.12,1016.37,0,3,3.29,274,86,283.03,281.49,283.03,281.49,282.04,281.64,
14.data.1,14,1489482000,15.66,1027.39,100,3.23,4.68,248,92,281.29,280.95,281.29,280.95,281.11,281.24,
14.data.2,14,1489568400,1.45,1030.19,100,3.02,4.56,32,92,280.92,280.92,281.65,281.65,281.08,281.18,
14.data.3,14,1489654800,0.33,1028.05,100,3.22,5.26,278,76,280.94,280.46,281.13,280.46,281.13,280.81,
14.data.4,14,1489741200,0.27,1022.4,0,2.73,3.22,354,31,281.1,279.46,281.1,279.46,280.56,280.38,
14.data.5,14,1489827600,,1021.33,0,3.42,2.93,264,4,280.65,279.19,280.65,279.19,279.91,279.57,
14.data.6,14,1489914000,,1019.55,0,3.28,3.05,145,10,281.37,280.08,281.37,280.08,280.3,280.1,
14.data.7,14,1490000400,1.13,1012.75,0,3.28,5.93,130,8,282.17,281.15,282.17,282,281.55,281.15,
14.data.8,14,1490086800,3.27,1007.88,0,3.28,10.6,270,75,281.97,281.12,282.41,281.12,281.34,282.41,
14.data.9,14,1490173200,,1024.36,0,3.28,6.45,292,0,282.35,280.79,282.35,281.05,281.51,280.79,
14.data.10,14,1490259600,,1023.2,0,3.28,2.24,249,19,282.01,280,282.01,280,281.17,281.48,
14.data.11,14,1490346000,,1022.52,0,3.28,5.67,74,63,281.94,280.41,281.94,280.86,281.66,280.41,
14.data.12,14,1490432400,1.51,1017.44,0,3.28,6.54,62,17,283.5,281.46,283.5,282.04,282.57,281.46,
14.data.13,14,1490518800,4.15,1013.41,0,3.28,3.36,54,67,283.12,282.2,283.12,282.2,282.48,282.37,
14.data.14,14,1490605200,0.42,1017.41,0,3.28,6.35,262,51,282.4,281.34,282.4,281.34,281.76,281.75,
14.data.15,14,1490691600,,1026.67,0,3.28,6.3,126,24,283.38,282.05,283.38,282.2,282.5,282.05,
14.data.16,14,1490778000,,1028.94,0,3.28,7.41,117,8,282.2,282.2,282.2,282.2,282.2,282.2,
15.data.0,15,1489402800,,1028.12,0,1.85,1.56,95,34,281.38,271.37,281.38,274.26,278.14,271.37,
15.data.1,15,1489489200,,1035.46,93,1.93,4.81,275,44,281.29,274.35,282.96,279.56,281.51,274.35,
15.data.2,15,1489575600,,1035.05,83,2.18,7.06,297,0,283.15,277.77,283.23,277.77,280.86,280.94,
15.data.3,15,1489662000,,1033.44,87,2.28,3.55,290,0,282.67,275.83,283.63,277.15,280.51,275.83,
15.data.4,15,1489748400,0.42,1017.13,0,2.38,6.2,278,52,283.25,280.01,283.25,280.01,281.21,280.78,
15.data.5,15,1489834800,7.97,1004.3,0,2.33,9.97,254,100,283.35,280.27,283.54,283.54,283.26,280.27,
15.data.6,15,1489921200,9.01,995.64,0,1.95,9.63,254,62,283.12,278.18,283.12,278.18,280.3,282.65,
15.data.7,15,1490007600,3.11,1011.94,0,1.95,7.12,267,28,281.12,276.8,281.12,278.75,280.65,276.8,
15.data.8,15,1490094000,,1014.36,0,1.95,4.38,318,5,280.42,274.82,280.42,274.82,278.19,277.86,
15.data.9,15,1490180400,,1029.22,0,1.95,7.29,77,0,280.6,273.14,280.6,276.05,278.51,273.14,
15.data.10,15,1490266800,,1031.91,0,1.95,7.2,77,0,281.21,273.85,281.21,273.85,277.82,275.93,
15.data.11,15,1490353200,0.28,1025.56,0,1.95,6.06,68,3,279.49,273.01,279.49,274.91,277.11,273.01,
15.data.12,15,1490439600,,1014.41,0,1.95,8.14,98,44,280.3,274.16,280.3,278.54,280.12,274.16,0.01
15.data.13,15,1490526000,,1009.56,0,1.95,8.61,88,14,283.47,277.57,283.47,278.85,282.03,277.57,
15.data.14,15,1490612400,3.91,1007.48,0,1.95,10.68,69,43,281.95,277.75,281.95,278.84,279.91,277.75,
15.data.15,15,1490698800,6.64,1008.83,0,1.95,9.4,65,80,283.63,281.15,283.63,281.9,282.7,281.15,
15.data.16,15,1490785200,2.15,1013.94,0,1.95,9.37,53,100,281.9,281.9,281.9,281.9,281.9,281.9,
16.data.0,16,1489395600,,1017.38,0,1.62,1.66,208,36,277.68,265.39,277.68,265.39,269.14,269.32,
16.data.1,16,1489482000,,1019.69,100,1.59,0.48,86,32,276.8,266.05,277.6,266.05,274.81,269.72,
16.data.2,16,1489568400,,1011.31,97,1.77,3.81,189,0,274.62,264.23,277.15,275.3,276.23,264.23,0.02
16.data.3,16,1489654800,0.38,1003.74,100,2.04,1.71,228,80,275.19,268.01,275.97,268.01,274.63,274.66,0.79
16.data.4,16,1489741200,0.23,1004.37,0,1.76,1.6,231,13,279.35,270.26,279.35,270.26,272.76,273.58,
16.data.5,16,1489827600,0.89,998.02,0,1.77,8.31,191,87,279,274.52,279,275.44,276.41,274.52,
16.data.6,16,1489914000,6.5,992.4,0,1.9,11.03,190,80,279.22,275.3,279.22,279.08,278.25,275.3,0
16.data.7,16,1490000400,7.56,994.72,0,1.9,7.09,183,98,280.37,277.7,280.37,277.7,278.55,279.55,
16.data.8,16,1490086800,4.49,1000.78,0,1.9,5.98,186,98,280.02,278.21,280.02,278.42,279.14,278.21,
16.data.9,16,1490173200,0.92,1006.12,0,1.9,4.23,106,99,279.65,275.25,279.65,275.25,277.41,278.39,0.01
16.data.10,16,1490259600,2.63,1009.22,0,1.9,8.1,51,86,276.81,274.28,276.81,275.8,276.07,274.28,0.82
16.data.11,16,1490346000,1.31,1016.44,0,1.9,7.62,49,49,278.64,273.96,278.64,273.96,275.51,275.91,0.08
16.data.12,16,1490432400,0.62,1015.01,0,1.9,1.78,142,68,278.9,270.59,278.9,270.59,274.37,275.11,0.02
16.data.13,16,1490518800,1.62,1010.58,0,1.9,1.01,302,16,281.22,275.05,281.22,275.05,276.68,276.22,
16.data.14,16,1490605200,0.47,1011.33,0,1.9,5.78,72,93,275.55,268.44,275.55,268.44,272.66,275.45,0.32
16.data.15,16,1490691600,,1024.03,0,1.9,3.69,77,1,276.78,265.8,276.78,265.8,270.5,270.45,
16.data.16,16,1490778000,,1025.9,0,1.9,1.3,92,0,265.8,265.8,265.8,265.8,265.8,265.8,
17.data.0,17,1489395600,6.56,1006.24,0,6.58,4.55,281,48,289.03,283.14,289.03,283.14,285.74,287.29,
17.data.1,17,1489482000,,1014.02,62,7.59,3.38,250,88,289.91,280.25,290.43,280.25,289.11,284.38,
17.data.2,17,1489568400,4.49,1009.93,64,7.34,3.01,249,80,290.12,277.53,290.4,284.1,286.53,277.53,
17.data.3,17,1489654800,2.14,1009.33,88,7.73,3.96,202,88,287.04,280.56,287.58,280.56,287.58,283.61,
17.data.4,17,1489741200,10.21,993.42,0,6.41,2.87,100,75,291.65,284.76,291.65,284.76,287.86,285.08,
17.data.5,17,1489827600,24.47,994.98,0,5.57,7.4,248,72,285.85,284.12,285.85,285.14,285.21,284.12,
17.data.6,17,1489914000,18.21,997.87,0,6.17,6.26,249,35,286.87,283.73,286.87,283.73,284.65,285.8,
17.data.7,17,1490000400,2.77,1001.61,0,6.17,3.09,240,22,288.52,282.35,288.52,282.35,284.15,285.9,
17.data.8,17,1490086800,,1000.58,0,6.17,3.49,200,1,292.72,282.72,292.72,282.72,287.54,286.21,
17.data.9,17,1490173200,0.82,1000.24,0,6.17,3.3,256,37,293.9,285.85,293.9,285.85,287.96,288.39,
17.data.10,17,1490259600,3.53,994.02,0,6.17,2.48,207,1,296.91,287.6,296.91,287.6,289.02,291.13,
17.data.11,17,1490346000,0.95,1001.04,0,6.17,3.56,264,5,291.74,282.86,291.74,282.86,286.01,288.96,
17.data.12,17,1490432400,1.04,998.8,0,6.17,2.21,200,0,296,286.14,296,286.14,288.62,288.61,
17.data.13,17,1490518800,3.55,998.01,0,6.17,3.26,322,31,292.72,284.15,292.72,284.15,286.03,290.17,
17.data.14,17,1490605200,5.58,1003.84,0,6.17,6.03,272,41,289.8,283.54,289.8,283.54,286.16,288,
17.data.15,17,1490691600,0.3,1007.82,0,6.17,2.23,327,1,292.98,282.6,292.98,282.6,286.9,287.6,
17.data.16,17,1490778000,,1008.27,0,6.17,2.05,51,0,282.6,282.6,282.6,282.6,282.6,282.6,
18.data.0,18,1489471200,,1006.47,38,9.15,2.05,111,0,305.31,289.06,305.41,289.06,302.43,293.18,
18.data.1,18,1489557600,,1006.39,35,9.3,1.99,235,48,300.84,285.88,302.77,288.86,301.65,285.88,
18.data.2,18,1489644000,,1004.12,35,9.62,2.03,297,0,302.43,286.57,304.74,290.46,303.42,286.57,
18.data.3,18,1489730400,,995.72,0,8.73,2,277,0,303.03,287.25,303.1,291.16,303.1,287.25,
18.data.4,18,1489816800,1.18,995.39,0,9.46,1.83,164,80,302.42,289.11,302.42,293.36,301,289.11,
18.data.5,18,1489903200,2.45,995.49,0,9.87,2.31,163,4,301.9,289.44,304.32,293.25,304.32,289.44,
18.data.6,18,1489989600,,998.2,0,9.87,3.09,32,0,302.4,287.83,302.72,291.6,302.72,287.83,
18.data.7,18,1490076000,,998.45,0,9.87,2.16,305,0,302.86,286.4,304.37,292.09,304.37,286.4,
18.data.8,18,1490162400,,997.87,0,9.87,3.36,288,0,306.04,290.17,307.25,293.91,307.25,290.17,
18.data.9,18,1490248800,,994.42,0,9.87,4.44,282,0,308.78,292.05,308.81,295.87,308.81,292.05,
18.data.10,18,1490335200,,994.77,0,9.87,3.45,289,0,308.66,292.3,308.66,296.46,308.54,292.3,
18.data.11,18,1490421600,2.01,995.18,0,9.87,1.81,124,10,308.56,292.16,308.56,297.02,306.35,292.16,
18.data.12,18,1490508000,3.83,993.9,0,9.87,2.28,323,37,307.07,295.29,307.07,297.08,306.22,295.29,
18.data.13,18,1490594400,6.26,996.43,0,9.87,2.88,268,38,302.6,293.96,302.6,293.96,300.2,294.4,
18.data.14,18,1490680800,,998.45,0,9.87,3.68,282,0,303.7,291.89,304.08,291.9,304.08,291.89,
18.data.15,18,1490767200,,996.71,0,9.87,1.63,251,1,288.65,288.65,288.65,288.65,288.65,288.65,
19.data.0,19,1489395600,8.12,1016.37,0,3,3.29,274,86,283.03,281.49,283.03,281.49,282.04,281.64,
19.data.1,19,1489482000,15.66,1027.39,100,3.23,4.68,248,92,281.29,280.95,281.29,280.95,281.11,281.24,
19.data.2,19,1489568400,1.45,1030.19,100,3.02,4.56,32,92,280.92,280.92,281.65,281.65,281.08,281.18,
19.data.3,19,1489654800,0.33,1028.05,100,3.22,5.26,278,76,280.94,280.46,281.13,280.46,281.13,280.81,
19.data.4,19,1489741200,0.27,1022.4,0,2.73,3.22,354,31,281.1,279.46,281.1,279.46,280.56,280.38,
19.data.5,19,1489827600,,1021.33,0,3.42,2.93,264,4,280.65,279.19,280.65,279.19,279.91,279.57,
19.data.6,19,1489914000,,1019.55,0,3.28,3.05,145,10,281.37,280.08,281.37,280.08,280.3,280.1,
19.data.7,19,1490000400,1.13,1012.75,0,3.28,5.93,130,8,282.17,281.15,282.17,282,281.55,281.15,
19.data.8,19,1490086800,3.27,1007.88,0,3.28,10.6,270,75,281.97,281.12,282.41,281.12,281.34,282.41,
19.data.9,19,1490173200,,1024.36,0,3.28,6.45,292,0,282.35,280.79,282.35,281.05,281.51,280.79,
19.data.10,19,1490259600,,1023.2,0,3.28,2.24,249,19,282.01,280,282.01,280,281.17,281.48,
19.data.11,19,1490346000,,1022.52,0,3.28,5.67,74,63,281.94,280.41,281.94,280.86,281.66,280.41,
19.data.12,19,1490432400,1.51,1017.44,0,3.28,6.54,62,17,283.5,281.46,283.5,282.04,282.57,281.46,
19.data.13,19,1490518800,4.15,1013.41,0,3.28,3.36,54,67,283.12,282.2,283.12,282.2,282.48,282.37,
19.data.14,19,1490605200,0.42,1017.41,0,3.28,6.35,262,51,282.4,281.34,282.4,281.34,281.76,281.75,
19.data.15,19,1490691600,,1026.67,0,3.28,6.3,126,24,283.38,282.05,283.38,282.2,282.5,282.05,
19.data.16,19,1490778000,,1028.94,0,3.28,7.41,117,8,282.2,282.2,282.2,282.2,282.2,282.2,
20.data.0,20,1489395600,,1019.01,0,1.64,1.91,222,35,277.73,264.91,277.73,264.91,268.59,269.37,
20.data.1,20,1489482000,,1022.86,84,1.59,2.43,120,20,278.53,264.82,279.94,270.95,278.31,264.82,
20.data.2,20,1489568400,,1015.92,88,1.75,5.56,188,0,274.72,267.68,278.4,275.35,276.53,267.68,0.04
20.data.3,20,1489654800,0.9,1007.3,91,2.06,4.76,197,92,277.39,272.21,277.82,272.21,276.88,273.96,0.24
20.data.4,20,1489741200,0.76,1005.78,0,1.75,1.19,60,62,277.85,266.66,277.85,266.66,271.51,274.23,0.21
20.data.5,20,1489827600,0.35,1000.85,0,1.76,8.18,190,38,279.55,273.67,279.55,274.79,276.56,273.67,
20.data.6,20,1489914000,4.67,995.64,0,1.91,10.76,187,32,279.62,274.6,279.62,277.98,277.75,274.6,
20.data.7,20,1490000400,7.55,997.76,0,1.91,7.78,181,99,278.77,277.3,278.77,277.3,277.3,278.25,
20.data.8,20,1490086800,1.27,1003.22,0,1.91,7.55,183,80,280.97,278.11,280.97,278.37,279.14,278.11,
20.data.9,20,1490173200,0.37,1008.15,0,1.91,3.87,114,92,279,274.15,279,274.15,275.86,277.19,0
20.data.10,20,1490259600,1.72,1010.64,0,1.91,7.12,60,90,276.96,274.13,276.96,275.25,276.37,274.13,0.79
20.data.11,20,1490346000,1.21,1017.66,0,1.91,6.7,51,72,278.29,274.06,278.29,274.06,275.66,275.66,0.11
20.data.12,20,1490432400,0.44,1016.43,0,1.91,1.84,156,84,278.65,270.69,278.65,270.69,274.57,275.06,0.04
20.data.13,20,1490518800,0.71,1011.99,0,1.91,2.56,321,23,281.17,273.95,281.17,273.95,275.93,276.17,0.01
20.data.14,20,1490605200,,1012.96,0,1.91,5.09,59,77,275.4,267.44,275.4,267.44,272.31,274.85,0.23
20.data.15,20,1490691600,,1025.45,0,1.91,3.42,66,0,276.83,264.9,276.83,264.9,269.85,270.3,
20.data.16,20,1490778000,,1027.52,0,1.91,0.77,6,0,264.9,264.9,264.9,264.9,264.9,264.9,
21.data.0,21,1489395600,0.43,1006.85,0,3.09,3.2,44,53,285.33,277.97,285.33,279.36,280.94,277.97,
21.data.1,21,1489482000,0.95,991.08,83,3.19,4.13,60,76,281.66,277.1,281.9,277.1,279.71,277.28,
21.data.2,21,1489568400,0.25,993.96,94,3.01,3.76,41,80,278.97,275.65,279.95,275.65,279.13,275.93,
21.data.3,21,1489654800,3.17,990.04,97,3.2,3.51,244,92,279.79,276.01,279.79,276.01,278.73,276.86,
21.data.4,21,1489741200,0.33,1012.47,0,2.79,2.05,317,30,280.8,272.36,280.8,272.36,276.71,277.43,
21.data.5,21,1489827600,0.48,1010.58,0,3.36,2.29,242,21,281.5,272.69,281.5,272.69,276.26,276.57,
21.data.6,21,1489914000,,1008.61,0,3.3,2.27,166,1,283.87,273.73,283.87,273.73,277.1,277.3,
21.data.7,21,1490000400,1.9,1002.01,0,3.3,4.36,154,34,285.22,278.05,285.22,278.85,280.1,278.05,
21.data.8,21,1490086800,14.44,995.72,0,3.3,1.86,289,52,284.12,279.07,284.12,279.07,280.24,280.81,
21.data.9,21,1490173200,0.32,1013.61,0,3.3,3.34,279,5,283.15,277.4,283.15,277.4,278.56,278.69,
21.data.10,21,1490259600,0.38,1013.07,0,3.3,2.15,276,14,283.16,273.3,283.16,273.3,277.97,279.78,
21.data.11,21,1490346000,,1013.2,0,3.3,2,65,68,282.89,275.36,282.89,275.36,279.01,276.61,
21.data.12,21,1490432400,,1008.32,0,3.3,3.8,58,5,286.7,278.31,286.7,278.44,281.22,278.31,
21.data.13,21,1490518800,2.54,1003.89,0,3.3,3.09,51,67,286.07,279.97,286.07,280.45,282.58,279.97,
21.data.14,21,1490605200,0.85,1006.67,0,3.3,2.74,253,76,284.9,279.04,284.9,279.04,281.56,281.65,
21.data.15,21,1490691600,0.73,1016.53,0,3.3,2.83,170,32,287.83,279.65,287.83,279.65,283.6,280.4,
21.data.16,21,1490778000,,1019.41,0,3.3,2.04,113,7,279.65,279.65,279.65,279.65,279.65,279.65,
22.data.0,22,1489395600,0.43,1006.85,0,3.09,3.2,44,53,285.33,277.97,285.33,279.36,280.94,277.97,
22.data.1,22,1489482000,0.95,991.08,83,3.19,4.13,60,76,281.66,277.1,281.9,277.1,279.71,277.28,
22.data.2,22,1489568400,0.25,993.96,94,3.01,3.76,41,80,278.97,275.65,279.95,275.65,279.13,275.93,
22.data.3,22,1489654800,3.17,990.04,97,3.2,3.51,244,92,279.79,276.01,279.79,276.01,278.73,276.86,
22.data.4,22,1489741200,0.33,1012.47,0,2.79,2.05,317,30,280.8,272.36,280.8,272.36,276.71,277.43,
22.data.5,22,1489827600,0.48,1010.58,0,3.36,2.29,242,21,281.5,272.69,281.5,272.69,276.26,276.57,
22.data.6,22,1489914000,,1008.61,0,3.3,2.27,166,1,283.87,273.73,283.87,273.73,277.1,277.3,
22.data.7,22,1490000400,1.9,1002.01,0,3.3,4.36,154,34,285.22,278.05,285.22,278.85,280.1,278.05,
22.data.8,22,1490086800,14.44,995.72,0,3.3,1.86,289,52,284.12,279.07,284.12,279.07,280.24,280.81,
22.data.9,22,1490173200,0.32,1013.61,0,3.3,3.34,279,5,283.15,277.4,283.15,277.4,278.56,278.69,
22.data.10,22,1490259600,0.38,1013.07,0,3.3,2.15,276,14,283.16,273.3,283.16,273.3,277.97,279.78,
22.data.11,22,1490346000,,1013.2,0,3.3,2,65,68,282.89,275.36,282.89,275.36,279.01,276.61,
22.data.12,22,1490432400,,1008.32,0,3.3,3.8,58,5,286.7,278.31,286.7,278.44,281.22,278.31,
22.data.13,22,1490518800,2.54,1003.89,0,3.3,3.09,51,67,286.07,279.97,286.07,280.45,282.58,279.97,
22.data.14,22,1490605200,0.85,1006.67,0,3.3,2.74,253,76,284.9,279.04,284.9,279.04,281.56,281.65,
22.data.15,22,1490691600,0.73,1016.53,0,3.3,2.83,170,32,287.83,279.65,287.83,279.65,283.6,280.4,
22.data.16,22,1490778000,,1019.41,0,3.3,2.04,113,7,279.65,279.65,279.65,279.65,279.65,279.65,
23.data.0,23,1489395600,7.52,942,0,3.32,0.57,48,50,287.33,277.89,287.33,277.89,280.24,281.64,
23.data.1,23,1489482000,6.85,863.49,100,3.34,0.73,239,92,276.61,273.05,276.61,273.05,274.81,274.48,4.86
23.data.2,23,1489568400,3.17,862.24,99,3.13,0.76,222,92,275.77,272.05,275.77,272.05,273.68,272.18,5.74
23.data.3,23,1489654800,,860.83,76,3.22,0.91,224,88,275.59,271.51,275.59,271.51,273.33,271.61,0.7
23.data.4,23,1489741200,1.73,949.04,0,2.98,0.86,215,32,279.25,274.31,279.25,274.36,274.31,276.68,0.19
23.data.5,23,1489827600,10.31,945.73,0,3.51,0.12,141,98,277.85,275.99,277.85,275.99,276.71,276.32,0.79
23.data.6,23,1489914000,1.45,944.98,0,3.76,0.65,337,72,279.67,274.73,279.67,274.73,275.95,276.9,0.08
23.data.7,23,1490000400,0.23,944.46,0,3.76,0.29,126,8,283.02,272.75,283.02,272.75,275.4,277.25,0.01
23.data.8,23,1490086800,1.93,942.22,0,3.76,1.88,190,90,283.57,276.42,283.57,276.42,278.34,280.16,
23.data.9,23,1490173200,1.61,951.41,0,3.76,1.95,220,84,279.7,274.5,279.7,274.5,276.76,277.79,0.19
23.data.10,23,1490259600,,950.86,0,3.76,0.91,270,41,282.31,273.7,282.31,273.7,276.37,277.13,0
23.data.11,23,1490346000,,949.57,0,3.76,1.01,354,44,285.04,275.46,285.04,275.46,278.01,279.21,
23.data.12,23,1490432400,2.63,946.92,0,3.76,1.02,83,56,284.45,275.79,284.45,275.79,278.02,279.66,0
23.data.13,23,1490518800,3.11,942.69,0,3.76,1.03,101,92,285.32,276.3,285.32,276.3,280.48,281.87,
23.data.14,23,1490605200,4.01,945.47,0,3.76,1.07,263,40,284.15,277.84,284.15,277.84,279.06,282.65,
23.data.15,23,1490691600,1.18,956.35,0,3.76,0.46,228,29,283.33,275.95,283.33,275.95,277.55,279.15,
23.data.16,23,1490778000,,959.63,0,3.76,1.01,92,25,275.95,275.95,275.95,275.95,275.95,275.95,
24.data.0,24,1489395600,16.57,933.89,0,3.32,1.16,265,37,285.38,277.76,285.38,277.76,278.74,281.44,0
24.data.1,24,1489482000,11.07,925.18,100,3.36,0.93,142,92,278.55,276.25,278.77,276.25,278.51,278.11,0.38
24.data.2,24,1489568400,12.82,924.17,100,3.17,1.06,200,92,277.27,274.45,277.27,274.45,275.03,276.08,1.8
24.data.3,24,1489654800,6.29,924.46,100,3.25,1.51,134,92,276.04,274.46,276.04,274.61,274.88,274.46,4.16
24.data.4,24,1489741200,0.47,941.75,0,2.97,1.04,115,27,279.1,276.06,279.1,276.41,276.06,276.78,0.97
24.data.5,24,1489827600,7.57,939.45,0,3.48,1.68,153,100,277.55,276.29,277.55,276.29,276.71,276.82,3.98
24.data.6,24,1489914000,7.25,937.89,0,3.79,1.34,216,99,277.77,276.23,277.77,276.23,276.8,276.95,1.72
24.data.7,24,1490000400,,937.57,0,3.79,1.37,262,4,281.42,276.3,281.42,276.3,276.65,277.2,0.03
24.data.8,24,1490086800,0.96,935.13,0,3.79,2.54,302,86,283.67,276.97,283.67,276.97,278.84,280.61,
24.data.9,24,1490173200,2.82,944.92,0,3.79,2.08,293,97,279,277.05,279,277.05,277.71,277.99,0.7
24.data.10,24,1490259600,,942.95,0,3.79,2.52,294,21,281.46,276.8,281.46,276.8,277.22,278.33,0.15
24.data.11,24,1490346000,,941.67,0,3.79,1.52,301,17,283.49,277.31,283.49,277.31,278.36,279.46,
24.data.12,24,1490432400,0.99,939.42,0,3.79,0.71,327,14,284.5,277.79,284.5,277.79,279.47,280.06,0
24.data.13,24,1490518800,3.76,936.41,0,3.79,2.04,64,93,282.27,278.15,282.27,278.15,279.73,280.47,
24.data.14,24,1490605200,2.71,938.99,0,3.79,1.89,168,63,280.85,277.19,280.85,277.19,277.81,280.4,0.08
24.data.15,24,1490691600,0.73,949.25,0,3.79,0.58,201,24,281.78,277.1,281.78,277.1,277.45,278.4,0.05
24.data.16,24,1490778000,,952.33,0,3.79,3.04,56,1,277.1,277.1,277.1,277.1,277.1,277.1,
25.data.0,25,1489395600,21.51,988.4,0,3.32,4.04,282,59,284.28,280.64,284.28,280.64,281.94,284.04,
25.data.1,25,1489482000,7.41,990.84,100,3.36,4.18,136,92,280.84,280.2,280.84,280.2,280.41,280.44,
25.data.2,25,1489568400,12.44,990.72,100,3.17,3.46,247,92,279.42,278.18,280.08,278.4,278.18,280.08,0.01
25.data.3,25,1489654800,5.85,990.28,100,3.25,7.01,123,88,279.49,278.51,279.49,278.61,278.88,278.51,
25.data.4,25,1489741200,0.29,997.48,0,2.97,1.74,111,5,280.95,279.58,280.95,280.91,280.46,279.58,0.1
25.data.5,25,1489827600,12.74,993.96,0,3.48,3.69,143,98,280.6,280.04,280.6,280.04,280.31,280.42,0.18
25.data.6,25,1489914000,3.06,993.21,0,3.79,3.23,266,93,280.92,279.78,280.92,279.78,280.1,280.45,0.03
25.data.7,25,1490000400,,992.69,0,3.79,1.43,183,0,281.87,280.05,281.87,280.9,280.45,280.05,0.01
25.data.8,25,1490086800,2.26,989.84,0,3.79,1.15,250,100,283.12,280.37,283.12,280.37,281.89,282.81,
25.data.9,25,1490173200,2.17,1001.26,0,3.79,2.9,266,97,280.65,279.85,280.65,279.85,280.26,280.39,0.05
25.data.10,25,1490259600,,999.09,0,3.79,2.26,289,28,281.76,280.28,281.76,280.7,280.82,280.28,
25.data.11,25,1490346000,,996.79,0,3.79,2.86,290,18,283.24,280.41,283.24,280.41,281.51,281.61,
25.data.12,25,1490432400,1.5,993.53,0,3.79,1.43,108,4,284.1,281.81,284.1,282.34,282.52,281.81,
25.data.13,25,1490518800,1.53,989.3,0,3.79,5.01,115,59,284.07,282.65,284.07,282.65,283.48,283.32,
25.data.14,25,1490605200,1.24,993.5,0,3.79,0.37,215,51,282.65,280.64,282.9,280.64,281.31,282.9,
25.data.15,25,1490691600,0.59,1004.58,0,3.79,3.05,137,19,282.88,281.1,282.88,282.3,281.5,281.1,
25.data.16,25,1490778000,,1007.05,0,3.79,4.51,78,0,282.3,282.3,282.3,282.3,282.3,282.3,
26.data.0,26,1489395600,21.51,988.4,0,3.32,4.04,282,59,284.28,280.64,284.28,280.64,281.94,284.04,
26.data.1,26,1489482000,7.41,990.84,100,3.36,4.18,136,92,280.84,280.2,280.84,280.2,280.41,280.44,
26.data.2,26,1489568400,12.44,990.72,100,3.17,3.46,247,92,279.42,278.18,280.08,278.4,278.18,280.08,0.01
26.data.3,26,1489654800,5.85,990.28,100,3.25,7.01,123,88,279.49,278.51,279.49,278.61,278.88,278.51,
26.data.4,26,1489741200,0.29,997.48,0,2.97,1.74,111,5,280.95,279.58,280.95,280.91,280.46,279.58,0.1
26.data.5,26,1489827600,12.74,993.96,0,3.48,3.69,143,98,280.6,280.04,280.6,280.04,280.31,280.42,0.18
26.data.6,26,1489914000,3.06,993.21,0,3.79,3.23,266,93,280.92,279.78,280.92,279.78,280.1,280.45,0.03
26.data.7,26,1490000400,,992.69,0,3.79,1.43,183,0,281.87,280.05,281.87,280.9,280.45,280.05,0.01
26.data.8,26,1490086800,2.26,989.84,0,3.79,1.15,250,100,283.12,280.37,283.12,280.37,281.89,282.81,
26.data.9,26,1490173200,2.17,1001.26,0,3.79,2.9,266,97,280.65,279.85,280.65,279.85,280.26,280.39,0.05
26.data.10,26,1490259600,,999.09,0,3.79,2.26,289,28,281.76,280.28,281.76,280.7,280.82,280.28,
26.data.11,26,1490346000,,996.79,0,3.79,2.86,290,18,283.24,280.41,283.24,280.41,281.51,281.61,
26.data.12,26,1490432400,1.5,993.53,0,3.79,1.43,108,4,284.1,281.81,284.1,282.34,282.52,281.81,
26.data.13,26,1490518800,1.53,989.3,0,3.79,5.01,115,59,284.07,282.65,284.07,282.65,283.48,283.32,
26.data.14,26,1490605200,1.24,993.5,0,3.79,0.37,215,51,282.65,280.64,282.9,280.64,281.31,282.9,
26.data.15,26,1490691600,0.59,1004.58,0,3.79,3.05,137,19,282.88,281.1,282.88,282.3,281.5,281.1,
26.data.16,26,1490778000,,1007.05,0,3.79,4.51,78,0,282.3,282.3,282.3,282.3,282.3,282.3,
27.data.0,27,1489402800,1.24,960.44,0,14.28,4.35,93,19,308.28,291.89,308.28,293.99,301.79,291.89,
27.data.1,27,1489489200,,968.83,21,15.12,5.06,22,0,308.62,291.43,309.71,296.01,304.46,291.43,
27.data.2,27,1489575600,,969.31,19,15.31,5.61,19,12,308.6,291.64,308.98,294.17,302.76,291.64,
27.data.3,27,1489662000,,967.46,18,15.67,5.25,36,0,309.07,289.48,309.33,291.95,302.86,289.48,
27.data.4,27,1489748400,,960.59,0,16.02,1.62,128,0,308.55,289.18,308.55,293.26,301.96,289.18,
27.data.5,27,1489834800,,960.32,0,15.94,3.57,78,0,310.5,291.37,310.5,293.99,304.21,291.37,
27.data.6,27,1489921200,,961.8,0,16.35,4.51,74,0,309.77,293.53,309.77,293.53,303.75,293.55,
27.data.7,27,1490007600,,961.48,0,16.35,3.17,70,0,309.12,290.45,309.12,294.25,303.1,290.45,
27.data.8,27,1490094000,,960.46,0,16.35,3.45,68,0,310.67,292.91,310.67,295.02,304.74,292.91,
27.data.9,27,1490180400,,959.31,0,16.35,3.69,102,2,311.95,293.14,311.95,294.55,305.56,293.14,
